source,host,timestamp,event_id,level,provider,user,ip,message,tags
synthetic,RYAN-LAB,2026-02-05T14:12:11Z,4625,Information,,jsmith,203.0.113.10,An account failed to log on. Status: 0xC000006D SubStatus: 0xC000006A,"['auth', 'failed_login']"
synthetic,RYAN-LAB,2026-02-05T14:12:25Z,4625,Information,,jsmith,203.0.113.10,An account failed to log on. Status: 0xC000006D SubStatus: 0xC000006A,"['auth', 'failed_login']"
synthetic,RYAN-LAB,2026-02-05T14:12:40Z,4625,Information,,jsmith,203.0.113.10,An account failed to log on. Status: 0xC000006D SubStatus: 0xC000006A,"['auth', 'failed_login']"
synthetic,RYAN-LAB,2026-02-05T14:13:05Z,4624,Information,,jsmith,203.0.113.10,An account was successfully logged on.,"['auth', 'success_login']"
synthetic,RYAN-LAB,2026-02-05T15:01:22Z,4720,Warning,,ADMIN,,A user account was created. Target Account Name: temp_admin,"['account', 'user_created']"
synthetic,RYAN-LAB,2026-02-05T15:03:02Z,4732,Warning,,ADMIN,,A member was added to a security-enabled local group. Group: Administrators Member: temp_admin,"['privilege', 'group_membership']"
synthetic,RYAN-LAB,2026-02-05T16:20:44Z,1102,Error,,temp_admin,,The audit log was cleared.,"['logging', 'log_cleared']"
synthetic,RYAN-LAB,2026-02-05T16:23:18Z,4688,Warning,,temp_admin,,A new process has been created: powershell.exe -enc SQBFAFgAIAAoACcA...,"['process', 'encoded_command']"
real,RyanHDevice1,/Date(1770515933766)/,2,Information,Microsoft-Windows-IsolatedUserMode,,,Secure Trustlet Id 6 and Pid 21108 stopped with status STATUS_SUCCESS.,
real,RyanHDevice1,/Date(1770515454613)/,1,Information,Microsoft-Windows-IsolatedUserMode,,,Secure Trustlet \??\C:\WINDOWS\System32\NgcIso.exe Id 6 and Pid 21108 started with status STATUS_SUCCESS.,
real,RyanHDevice1,/Date(1770515454612)/,5,Information,Microsoft-Windows-IsolatedUserMode,,,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.,
real,RyanHDevice1,/Date(1770514543918)/,105,Information,Microsoft-Windows-Kernel-Power,,,Power source change.,
real,RyanHDevice1,/Date(1770511270425)/,2,Information,Microsoft-Windows-IsolatedUserMode,,,Secure Trustlet Id 6 and Pid 16688 stopped with status STATUS_SUCCESS.,
real,RyanHDevice1,/Date(1770510791059)/,1,Information,Microsoft-Windows-IsolatedUserMode,,,Secure Trustlet \??\C:\WINDOWS\System32\NgcIso.exe Id 6 and Pid 16688 started with status STATUS_SUCCESS.,
real,RyanHDevice1,/Date(1770510791058)/,5,Information,Microsoft-Windows-IsolatedUserMode,,,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.,
real,RyanHDevice1,/Date(1770506213993)/,16,Information,Microsoft-Windows-Kernel-General,,,The access history in hive \??\C:\Users\Ryan Holmes\AppData\Local\Packages\Microsoft.Windows.Photos_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 1 keys and creating 1 modified pages.,
real,RyanHDevice1,/Date(1770506212910)/,16,Information,Microsoft-Windows-Kernel-General,,,The access history in hive \??\C:\Users\Ryan Holmes\AppData\Local\Packages\Clipchamp.Clipchamp_yxz26nhyzhsrt\SystemAppData\Helium\UserClasses.dat was cleared updating 1 keys and creating 1 modified pages.,
real,RyanHDevice1,/Date(1770506212894)/,16,Information,Microsoft-Windows-Kernel-General,,,The access history in hive \??\C:\Users\Ryan Holmes\AppData\Local\Packages\Clipchamp.Clipchamp_yxz26nhyzhsrt\SystemAppData\Helium\User.dat was cleared updating 1 keys and creating 1 modified pages.,
real,RyanHDevice1,/Date(1770506170124)/,16,Information,Microsoft-Windows-Kernel-General,,,The access history in hive \??\C:\Users\Ryan Holmes\AppData\Local\Packages\Microsoft.ScreenSketch_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.,
real,RyanHDevice1,/Date(1770506169718)/,16,Information,Microsoft-Windows-Kernel-General,,,The access history in hive \??\C:\ProgramData\Packages\Microsoft.ScreenSketch_8wekyb3d8bbwe\S-1-5-21-2886018539-3815662427-1404205157-1001\SystemAppData\Helium\Cache\f5ea2982365ad924_COM15.dat was cleared updating 1 keys and creating 1 modified pages.,
